web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665128096-1","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Bakpoeder","https://www.ah.nl/producten/product/wi521091/ah-bakpoeder","0.49","379 kJ (89 kcal)","Vet0.1 g","Koolhydraten22 g","Prijs per KG € 5,44","Eiwitten0.1 g"
"1665128099-2","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Aardbeien bavarois punten","https://www.ah.nl/producten/product/wi507968/ah-aardbeien-bavarois-punten","3.25","1145 kJ (274 kcal)","Vet15 g","Koolhydraten31 g","null","Eiwitten3.3 g"
"1665128101-3","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Cookies & cream taart","https://www.ah.nl/producten/product/wi507966/ah-cookies-en-cream-taart","5.00","1841 kJ (442 kcal)","Vet30 g","Koolhydraten38 g","null","Eiwitten4.5 g"
"1665128103-4","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Bakkersbol boter","https://www.ah.nl/producten/product/wi497772/ah-bakkersbol-boter","1.39","1169 kJ (277 kcal)","Vet4.3 g","Koolhydraten49 g","null","Eiwitten9.7 g"
"1665128106-5","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Aardbeien bavarois schnitt","https://www.ah.nl/producten/product/wi485210/ah-aardbeien-bavarois-schnitt","5.00","1095 kJ (262 kcal)","Vet13 g","Koolhydraten32 g","null","Eiwitten3.8 g"
"1665128108-6","https://www.ah.nl/producten/bakkerij-en-banket?page=40","De Maro Caramel seasalt deegrol","https://www.ah.nl/producten/product/wi477949/de-maro-caramel-seasalt-deegrol","2.99","1797 kJ (407 kcal)","Vet19 g","Koolhydraten58.5 g","Prijs per KG € 9,97","Eiwitten5.1 g"
"1665128111-7","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Vanille donut gevuld","https://www.ah.nl/producten/product/wi476131/ah-vanille-donut-gevuld","0.45","1685 kJ (403 kcal)","Vet23 g","Koolhydraten42 g","null","Eiwitten6.3 g"
"1665128113-8","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Petit stokbrood meerzaden","https://www.ah.nl/producten/product/wi475816/ah-petit-stokbrood-meerzaden","0.85","1199 kJ (284 kcal)","Vet6.2 g","Koolhydraten43 g","null","Eiwitten12 g"
"1665128115-9","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Petit stokbrood wit","https://www.ah.nl/producten/product/wi475815/ah-petit-stokbrood-wit","0.75","1033 kJ (244 kcal)","Vet1.1 g","Koolhydraten49 g","null","Eiwitten8.3 g"
"1665128118-10","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Bosvruchtenslofjes","https://www.ah.nl/producten/product/wi468275/ah-bosvruchtenslofjes","3.50","1397 kJ (334 kcal)","Vet19 g","Koolhydraten37 g","null","Eiwitten3.1 g"
"1665128120-11","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Extra lang lekker rozijnen krentebollen","https://www.ah.nl/producten/product/wi467990/ah-extra-lang-lekker-rozijnen-krentebollen","1.59","1104 kJ (261 kcal)","Vet2.7 g","Koolhydraten48 g","null","Eiwitten8.2 g"
