web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665133576-784","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Scharrel roasted kipfilet flinterdun","https://www.ah.nl/producten/product/wi540130/ah-scharrel-roasted-kipfilet-flinterdun","3.19","null","null","null","Prijs per KG € 28,99","null"
"1665133579-785","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Borrelplank hiep hiep hoera","https://www.ah.nl/producten/product/wi515351/borrelplank-hiep-hiep-hoera","17.16","null","null","null","null","null"
"1665133581-786","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Groene peper cremepate","https://www.ah.nl/producten/product/wi505442/ah-groene-peper-cremepate","2.72","1106 kJ (267 kcal)","Vet24 g","Koolhydraten4.2 g","Prijs per KG € 15,80","Eiwitten8.2 g"
"1665133583-787","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Carpegna","https://www.ah.nl/producten/product/wi498157/ah-carpegna","3.99","1184 kJ (284 kcal)","Vet19 g","Koolhydraten0.3 g","Prijs per KG € 57,00","Eiwitten28 g"
"1665133586-788","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Jordans Crunchy Granola - Chocolate","https://www.ah.nl/producten/product/wi486804/jordans-crunchy-granola-chocolate","2.99","1837 kJ (437 kcal)","Vet14.8 g","Koolhydraten62.5 g","Prijs per KG € 5,98","Eiwitten10 g"
"1665133589-789","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Nocilla Hazelnootpasta original","https://www.ah.nl/producten/product/wi479571/nocilla-hazelnootpasta-original","4.19","2279 kJ (546 kcal)","Vet32 g","Koolhydraten58 g","Prijs per KG € 11,03","Eiwitten5 g"
"1665133591-790","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Goudse Extra Belegen 48+ stuk GVP","https://www.ah.nl/producten/product/wi474536/ah-goudse-extra-belegen-48-stuk-gvp","10.63","1665 kJ (400 kcal)","Vet33 g","Koolhydraten0 g","Prijs per KG € 13,95","Eiwitten26 g"
"1665133594-791","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","AH Goudse Jong 48+ stuk GVP","https://www.ah.nl/producten/product/wi474535/ah-goudse-jong-48-stuk-gvp","10.66","1500 kJ (360 kcal)","Vet30 g","Koolhydraten0 g","Prijs per KG € 12,05","Eiwitten23 g"
"1665133596-792","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Milner jong belegen stuk","https://www.ah.nl/producten/product/wi421278/milner-jong-belegen-stuk","7.19","1193 kJ (286 kcal)","Vet18 g","Koolhydraten0 g","Prijs per KG € 15,98","Eiwitten29 g"
"1665133598-793","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Passendale Caractere 48+ vvp","https://www.ah.nl/producten/product/wi419598/passendale-caractere-48-vvp","2.85","1461 kJ (352 kcal)","Vet28 g","Koolhydraten0 g","Prijs per KG € 17,73","Eiwitten25 g"
"1665133601-794","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Powerbar 30% Protein plus vanilla coconut","https://www.ah.nl/producten/product/wi385013/powerbar-30-protein-plus-vanilla-coconut","2.55","1494 kJ (355 kcal)","Vet6.9 g","Koolhydraten36 g","Normale prijs per KG € 46,36","Eiwitten32 g"
