web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665121818-1","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","Puro Pesto rosso vegan","https://www.ah.nl/producten/product/wi462066/puro-pesto-rosso-vegan","3.29","1929 kJ (468 kcal)","Vet46 g","Koolhydraten9.3 g","Prijs per KG € 24,37","Eiwitten3.1 g"
"1665121820-2","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","Puro Vegan Pesto alla Genovese","https://www.ah.nl/producten/product/wi462046/puro-vegan-pesto-alla-genovese","3.29","2099 kJ (509 kcal)","Vet51 g","Koolhydraten6.6 g","Prijs per KG € 24,37","Eiwitten5.3 g"
"1665121823-3","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","Wijngaard Affiné Mosterd Dille","https://www.ah.nl/producten/product/wi439790/wijngaard-affine-mosterd-dille","3.29","1547 kJ (368 kcal)","Vet30 g","Koolhydraten1.3 g","Prijs per KG € 21,93","Eiwitten23.3 g"
"1665121825-4","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","Old Amsterdam Original 35+ plakken","https://www.ah.nl/producten/product/wi223414/old-amsterdam-original-35-plakken","3.29","1370 kJ (329 kcal)","Vet23.5 g","Koolhydraten0 g","Prijs per KG € 23,50","Eiwitten29.4 g"
"1665121827-5","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","De Zaanse Hoeve Oud 48+ plak 250g","https://www.ah.nl/producten/product/wi197229/de-zaanse-hoeve-oud-48-plak-250g","3.29","1735 kJ (420 kcal)","Vet35 g","Koolhydraten0 g","Prijs per KG € 13,16","Eiwitten26 g"
"1665121829-6","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","Old Amsterdam Original 5 plakken","https://www.ah.nl/producten/product/wi193637/old-amsterdam-original-5-plakken","3.29","1663 kJ (401 kcal)","Vet33 g","Koolhydraten0 g","Prijs per KG € 23,50","Eiwitten26 g"
"1665121832-7","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","AH Biologisch Belegen 50+ plakken","https://www.ah.nl/producten/product/wi185804/ah-biologisch-belegen-50-plakken","3.29","1629 kJ (393 kcal)","Vet33 g","Koolhydraten0 g","Prijs per KG € 17,32","Eiwitten24 g"
"1665121834-8","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","Lanquetot Brin de paille 45+","https://www.ah.nl/producten/product/wi198016/lanquetot-brin-de-paille-45","3.29","1251 kJ (302 kcal)","Vet26.6 g","Koolhydraten0 g","Prijs per KG € 21,93","Eiwitten15.7 g"
"1665121836-9","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","AH Hamreepjes","https://www.ah.nl/producten/product/wi130254/ah-hamreepjes","3.29","622 kJ (149 kcal)","Vet9 g","Koolhydraten2 g","Prijs per KG € 16,45","Eiwitten15 g"
"1665121839-10","https://www.ah.nl/producten/kaas-vleeswaren-tapas?sortBy=price&page=40","AH Excellent Picollini","https://www.ah.nl/producten/product/wi133860/ah-excellent-picollini","3.29","1981 kJ (478 kcal)","Vet41 g","Koolhydraten0.3 g","Normale prijs per KG € 19,35","Eiwitten27 g"
