web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665125595-1","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","null","null","","","","","",""
"1665125595-2","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","null","null","","","","","",""
"1665125595-3","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","null","null","","","","","",""
"1665125595-4","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","null","null","","","","","",""
"1665125597-5","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Tony's Chocolonely Chocolademelk","https://www.ah.nl/producten/product/wi209749/tony-s-chocolonely-chocolademelk","2.39","359 kJ (85 kcal)","Vet2.3 g","Koolhydraten12.4 g","Prijs per LT € 2,39","Eiwitten3.4 g"
"1665125599-6","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Alpro Barista haver 4-pakket","https://www.ah.nl/producten/product/wi528479/alpro-barista-haver-4-pakket","9.96","null","null","null","null","null"
"1665125602-7","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","AH Opschuimmelk voor cappuccino 4-pack","https://www.ah.nl/producten/product/wi520478/ah-opschuimmelk-voor-cappuccino-4-pack","5.56","null","null","null","null","null"
"1665125604-8","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Valle del sole Coconut milk extra creamy","https://www.ah.nl/producten/product/wi516873/valle-del-sole-coconut-milk-extra-creamy","3.35","705 kJ (170 kcal)","Vet17 g","Koolhydraten2 g","Normale prijs per LT € 3,35","Eiwitten1.5 g"
"1665125606-9","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Bonne Maman Mousse au chocolat dark intense","https://www.ah.nl/producten/product/wi509582/bonne-maman-mousse-au-chocolat-dark-intense","2.69","3.4 g","Vet26 g","Koolhydraten15 g","Prijs per KG € 13,45","Eiwitten7.9 g"
"1665125609-10","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","AH Barista amandel","https://www.ah.nl/producten/product/wi484127/ah-barista-amandel","1.59","159 kJ (38 kcal)","Vet2 g","Koolhydraten3.6 g","Prijs per LT € 3,18","Eiwitten1.2 g"
"1665125611-11","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Ben & Jerry's Cookie dough s'wich up","https://www.ah.nl/producten/product/wi398838/ben-en-jerry-s-cookie-dough-s-wich-up","6.99","248 kcal (1042 kJ)","Vet14 g20%","Koolhydraten27 g10%","Prijs per LT € 15,03","Eiwitten3.7 g7%"
"1665125613-12","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","AH Cheesecake met zwarte bessen topping","https://www.ah.nl/producten/product/wi177493/ah-cheesecake-met-zwarte-bessen-topping","2.29","1020 kJ (245 kcal)","Vet12 g","Koolhydraten31 g","Prijs per KG € 11,45","Eiwitten2.5 g"
"1665125615-13","https://www.ah.nl/producten/zuivel-plantaardig-en-eieren?page=30","Almhof Plantaardig dessert chocolade","https://www.ah.nl/producten/product/wi520131/almhof-plantaardig-dessert-chocolade","1.79","468 kJ (111 kcal)","Vet4.2 g","Koolhydraten16.9 g","Normale prijs per KG € 9,94","Eiwitten1.2 g"
