web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665090245-1","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Pasta Funghi verspakket","https://www.ah.nl/producten/product/wi541734/ah-pasta-funghi-verspakket","9.46","null","null","null","null","null"
"1665090247-2","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Zuurkool ovenschotel verspakket","https://www.ah.nl/producten/product/wi541725/ah-zuurkool-ovenschotel-verspakket","8.12","null","null","null","null","null"
"1665090250-3","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Mini pie runderstoof","https://www.ah.nl/producten/product/wi526391/ah-mini-pie-runderstoof","3.39","1202 kJ (288 kcal)","Vet17 g","Koolhydraten25 g","null","Eiwitten8 g"
"1665090252-4","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Focaccia mozzarella","https://www.ah.nl/producten/product/wi451137/ah-focaccia-mozzarella","0.89","1110 kJ (264 kcal)","Vet8 g","Koolhydraten36 g","null","Eiwitten9.4 g"
"1665090254-5","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Steenovern pizza margherita","https://www.ah.nl/producten/product/wi445254/ah-steenovern-pizza-margherita","3.79","905 kJ (215 kcal)","Vet6.6 g","Koolhydraten29 g","Prijs per KG € 9,02","Eiwitten8.7 g"
"1665090257-6","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Kip paprikabroodje","https://www.ah.nl/producten/product/wi410181/ah-kip-paprikabroodje","1.99","1047 kJ (249 kcal)","Vet7.9 g","Koolhydraten36 g","null","Eiwitten7.7 g"
"1665090259-7","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Koopmans Pannenkoekmeel kabouter","https://www.ah.nl/producten/product/wi304930/koopmans-pannenkoekmeel-kabouter","2.25","744 kJ (178 kcal)","Vet3.8 g","Koolhydraten28 g","Prijs per KG € 4,50","Eiwitten7.4 g"
"1665090261-8","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Uramaki","https://www.ah.nl/producten/product/wi231693/ah-uramaki","4.49","607 kJ (144 kcal)","Vet3.1 g","Koolhydraten24 g","Prijs per KG € 19,96","Eiwitten4.6 g"
"1665090264-9","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Gehaktbalbroodje","https://www.ah.nl/producten/product/wi230796/ah-gehaktbalbroodje","1.25","1380 kJ (330 kcal)","Vet23 g","Koolhydraten22 g","null","Eiwitten8.5 g"
"1665090266-10","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Saucijzenbroodje","https://www.ah.nl/producten/product/wi230724/ah-saucijzenbroodje","0.85","1554 kJ (373 kcal)","Vet25 g","Koolhydraten29 g","null","Eiwitten7.5 g"
"1665090268-11","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Frikandelbroodje","https://www.ah.nl/producten/product/wi230720/ah-frikandelbroodje","0.85","1443 kJ (346 kcal)","Vet22 g","Koolhydraten23 g","null","Eiwitten13 g"
"1665090271-12","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Beckers worstenbrood 8x80gr","https://www.ah.nl/producten/product/wi226603/beckers-worstenbrood-8x80gr","4.89","1220 kJ (290 kcal)","Vet11.1 g","Koolhydraten36 g","Prijs per KG € 7,64","Eiwitten10.5 g"
"1665090273-13","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Dr. Oetker Pizza borrelhapjes en ovensnacks pakket","https://www.ah.nl/producten/product/wi526357/dr-oetker-pizza-borrelhapjes-en-ovensnacks-pakket","7.32","null","null","null","null","null"
"1665090275-14","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","De basis voor een Italiaanse pizza","https://www.ah.nl/producten/product/wi521112/de-basis-voor-een-italiaanse-pizza","8.05","null","null","null","null","null"
"1665090278-15","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Snelle Ravioli","https://www.ah.nl/producten/product/wi519356/snelle-ravioli","10.31","null","null","null","null","null"
"1665090280-16","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Vega teriyaki verspakket (Compleet)","https://www.ah.nl/producten/product/wi514396/ah-vega-teriyaki-verspakket-compleet","9.17","null","null","null","null","null"
"1665090282-17","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Vegan kip couscous","https://www.ah.nl/producten/product/wi533009/chef-martin-vegan-kip-couscous","5.69","464 kJ (111 kcal)","Vet4.2 g","Koolhydraten13 g","Prijs per KG € 11,85","Eiwitten4.1 g"
"1665090285-18","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Pizza avond","https://www.ah.nl/producten/product/wi520907/pizza-avond","8.28","null","null","null","null","null"
"1665090287-19","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Vega groene curry pakket (Compleet)","https://www.ah.nl/producten/product/wi520143/ah-vega-groene-curry-pakket-compleet","10.53","null","null","null","null","null"
"1665090289-20","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Heinz tomatensaus Shakshuka pakket","https://www.ah.nl/producten/product/wi526224/heinz-tomatensaus-shakshuka-pakket","9.71","null","null","null","null","null"
"1665090291-21","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH vega kip piri piri verspakket (Compleet)","https://www.ah.nl/producten/product/wi524063/ah-vega-kip-piri-piri-verspakket-compleet","12.22","null","null","null","null","null"
"1665090294-22","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Yu shiang noedles","https://www.ah.nl/producten/product/wi533008/chef-martin-yu-shiang-noedles","5.59","503 kJ (120 kcal)","Vet5.1 g","Koolhydraten13.1 g","Prijs per KG € 11,89","Eiwitten5.1 g"
"1665090296-23","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Vegan jackfruit biryani","https://www.ah.nl/producten/product/wi533006/chef-martin-vegan-jackfruit-biryani","5.59","449 kJ (107 kcal)","Vet2.7 g","Koolhydraten17.6 g","Prijs per KG € 11,09","Eiwitten2.4 g"
"1665090298-24","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Vega couscous pakket (Compleet)","https://www.ah.nl/producten/product/wi520139/ah-vega-couscous-pakket-compleet","9.67","null","null","null","null","null"
"1665090301-25","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Vegan chicken masala","https://www.ah.nl/producten/product/wi533007/chef-martin-vegan-chicken-masala","5.69","516 kJ (123 kcal)","Vet3.1 g","Koolhydraten17.8 g","Prijs per KG € 11,61","Eiwitten5.1 g"
"1665090303-26","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Steenoven mini pizza 4-pack","https://www.ah.nl/producten/product/wi520816/ah-steenoven-mini-pizza-4-pack","13.56","null","null","null","null","null"
"1665090305-27","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Vega jambalaya pakket (Compleet)","https://www.ah.nl/producten/product/wi520144/ah-vega-jambalaya-pakket-compleet","9.00","null","null","null","null","null"
"1665090308-28","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH (kip) broodjes pakket","https://www.ah.nl/producten/product/wi519901/ah-kip-broodjes-pakket","2.58","null","null","null","null","null"
"1665090310-29","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Gesneden verspakket vega poke (Compleet)","https://www.ah.nl/producten/product/wi514758/ah-gesneden-verspakket-vega-poke-compleet","8.62","null","null","null","null","null"
"1665090312-30","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Streeckgenoten Tom kha kai soep","https://www.ah.nl/producten/product/wi515466/streeckgenoten-tom-kha-kai-soep","3.49","399 kJ (96 kcal)","Vet6.5 g","Koolhydraten5 g","Prijs per KG € 4,99","Eiwitten4.2 g"
"1665090314-31","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Vegetarische kip pizza met pompoen","https://www.ah.nl/producten/product/wi514067/ah-vegetarische-kip-pizza-met-pompoen","2.99","932 kJ (221 kcal)","Vet6 g","Koolhydraten31 g","Prijs per KG € 8,79","Eiwitten10 g"
"1665090317-32","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Consenza Saucijzenbrood","https://www.ah.nl/producten/product/wi508107/consenza-saucijzenbrood","4.19","1286 kJ (309 kcal)","Vet21 g","Koolhydraten23 g","Prijs per KG € 34,92","Eiwitten7 g"
"1665090319-33","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Peak's American pancake mix glutenvrij","https://www.ah.nl/producten/product/wi407806/peak-s-american-pancake-mix-glutenvrij","2.59","1396 kJ (330 kcal)","Vet1.6 g","Koolhydraten77 g","Normale prijs per KG € 8,87","Eiwitten2.5 g"
"1665090321-34","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Ovensnack wrap pittige kip","https://www.ah.nl/producten/product/wi518458/ah-ovensnack-wrap-pittige-kip","3.95","623 kJ (148 kcal)","Vet3.9 g","Koolhydraten19 g","Prijs per KG € 15,55","Eiwitten8 g"
"1665090324-35","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Ovensnack wrap Mexicaans","https://www.ah.nl/producten/product/wi518436/ah-ovensnack-wrap-mexicaans","3.95","673 kJ (160 kcal)","Vet4.4 g","Koolhydraten21 g","Prijs per KG € 15,61","Eiwitten7.5 g"
"1665090326-36","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Soupalicious One for one tom kha kai soep","https://www.ah.nl/producten/product/wi515685/soupalicious-one-for-one-tom-kha-kai-soep","3.99","261.9 kJ (62.9 kcal)","Vet3.9 g","Koolhydraten4.5 g","Prijs per KG € 7,98","Eiwitten2.2 g"
"1665090328-37","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Baguette gehaktballetjes","https://www.ah.nl/producten/product/wi518415/ah-baguette-gehaktballetjes","3.25","886 kJ (211 kcal)","Vet7.9 g","Koolhydraten25 g","Prijs per KG € 18,06","Eiwitten9 g"
"1665090331-38","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Soupalicious One for one rode paprikasoep","https://www.ah.nl/producten/product/wi517754/soupalicious-one-for-one-rode-paprikasoep","3.69","168.3 kJ (40.1 kcal)","Vet1.1 g","Koolhydraten6.1 g","Prijs per LT € 7,38","Eiwitten1.2 g"
"1665090333-39","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Italiaanse pasta maaltijd","https://www.ah.nl/producten/product/wi532866/ah-italiaanse-pasta-maaltijd","9.76","null","null","null","null","null"
"1665090336-40","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Vegetarische kebab pizza bloemkool","https://www.ah.nl/producten/product/wi514066/ah-vegetarische-kebab-pizza-bloemkool","2.99","966 kJ (230 kcal)","Vet7.3 g","Koolhydraten29 g","Prijs per KG € 8,79","Eiwitten11 g"
"1665090338-41","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Consenza Worstenbroodjes","https://www.ah.nl/producten/product/wi508113/consenza-worstenbroodjes","4.19","1102 kJ (264 kcal)","Vet14 g","Koolhydraten26 g","Prijs per KG € 34,92","Eiwitten7.5 g"
"1665090340-42","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Stamppot zuurkool met rookworst","https://www.ah.nl/producten/product/wi380430/chef-martin-stamppot-zuurkool-met-rookworst","5.13","398 kJ (95 kcal)","Vet5 g","Koolhydraten8 g","Prijs per KG € 8,55","Eiwitten3.8 g"
"1665090343-43","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Kadir's Pitabrood kipsaté","https://www.ah.nl/producten/product/wi534800/kadir-s-pitabrood-kipsate","1.99","1009 kJ (239 kcal)","Vet7.5 g","Koolhydraten36 g","null","Eiwitten7.6 g"
"1665090345-44","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Kadir's Frikandelbroodje","https://www.ah.nl/producten/product/wi533529/kadir-s-frikandelbroodje","3.09","1391 kJ (334 kcal)","Vet24 g","Koolhydraten23 g","null","Eiwitten7.3 g"
"1665090347-45","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Kip in Oosterse saus met mie en groenten","https://www.ah.nl/producten/product/wi380470/chef-martin-kip-in-oosterse-saus-met-mie-en-groenten","6.16","692 kJ (165 kcal)","Vet5.7 g","Koolhydraten21.8 g","Prijs per KG € 11,30","Eiwitten6.4 g"
"1665090350-46","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Runderlapje in jus, spruitjes","https://www.ah.nl/producten/product/wi380445/chef-martin-runderlapje-in-jus-spruitjes","5.13","361 kJ (86 kcal)","Vet2.6 g","Koolhydraten8.8 g","Prijs per KG € 11,15","Eiwitten6.1 g"
"1665090352-47","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Consenza Saucijzenbroodjes","https://www.ah.nl/producten/product/wi228426/consenza-saucijzenbroodjes","5.59","1448 kJ (346 kcal)","Vet22.2 g","Koolhydraten29.2 g","Prijs per KG € 31,06","Eiwitten6.8 g"
"1665090354-48","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Streeckgenoten Aspergesoep","https://www.ah.nl/producten/product/wi494434/streeckgenoten-aspergesoep","3.99","233 kJ (56 kcal)","Vet3.5 g","Koolhydraten3.7 g","Prijs per KG € 5,70","Eiwitten2.3 g"
"1665090356-49","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Hachee rode kool-gekookte aardappelen","https://www.ah.nl/producten/product/wi380415/chef-martin-hachee-rode-kool-gekookte-aardappelen","4.59","416 kJ (99 kcal)","Vet1.8 g","Koolhydraten13.2 g","Prijs per KG € 9,56","Eiwitten6.1 g"
"1665090359-50","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Smaakt Boekweit pannenkoekmix","https://www.ah.nl/producten/product/wi444821/smaakt-boekweit-pannenkoekmix","2.39","1498 kJ (354 kcal)","Vet1.8 g","Koolhydraten74 g","Prijs per KG € 5,98","Eiwitten8.1 g"
"1665090361-51","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Pizzapocket cheddar chili","https://www.ah.nl/producten/product/wi524312/ah-pizzapocket-cheddar-chili","2.79","1257 kJ (299 kcal)","Vet9 g","Koolhydraten40 g","null","Eiwitten11 g"
"1665090364-52","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Mama deli Maaltijd bruine bonen, wortel, tomaat","https://www.ah.nl/producten/product/wi520970/mama-deli-maaltijd-bruine-bonen-wortel-tomaat","5.99","322.5 kJ (76.8 kcal)","Vet1.1 g","Koolhydraten10.9 g","Prijs per KG € 9,98","Eiwitten3.7 g"
