web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665117777-115","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Heinz Tomaten Ketchup met AH hamburger","https://www.ah.nl/producten/product/wi538645/heinz-tomaten-ketchup-met-ah-hamburger","3.84","null","null","null","null","null"
"1665117779-116","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Vegan visfilet","https://www.ah.nl/producten/product/wi533234/ah-vegan-visfilet","2.59","995 kJ (239 kcal)","Vet15 g","Koolhydraten17 g","Prijs per KG € 12,95","Eiwitten6 g"
"1665117781-117","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Argentijnse garnaal","https://www.ah.nl/producten/product/wi500620/ah-argentijnse-garnaal","8.69","283 kJ (67 kcal)","Vet0.3 g","Koolhydraten0 g","Prijs per KG € 19,31","Eiwitten16 g"
"1665117784-118","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Tonijnsteak wit","https://www.ah.nl/producten/product/wi498735/ah-tonijnsteak-wit","5.49","526 kJ (124 kcal)","Vet1.8 g","Koolhydraten0 g","Prijs per KG € 23,85","Eiwitten27 g"
"1665117786-119","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Morjon Bakkeljauw filet","https://www.ah.nl/producten/product/wi482526/morjon-bakkeljauw-filet","5.49","323 kJ (76 kcal)","Vet0 g","Koolhydraten0 g","Prijs per KG € 15,69","Eiwitten19 g"
"1665117788-120","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Lekker & Anders Beef kebab","https://www.ah.nl/producten/product/wi474812/lekker-en-anders-beef-kebab","4.55","234 kcal (972 kJ)","Vet18 g","Koolhydraten4.9 g","Prijs per KG € 11,38","Eiwitten13 g"
"1665117790-121","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Quorn 10 Fish-Free Sticks","https://www.ah.nl/producten/product/wi469352/quorn-10-fish-free-sticks","3.29","898 kJ (214 kcal)","Vet7.8 g","Koolhydraten29 g","Prijs per KG € 16,45","Eiwitten4.5 g"
"1665117793-122","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Princes Gegrilde makreel in zonnebloemolie","https://www.ah.nl/producten/product/wi468282/princes-gegrilde-makreel-in-zonnebloemolie","2.39","1373 kJ (331 kcal)","Vet27 g","Koolhydraten0 g","Prijs per KG € 19,92","Eiwitten22 g"
"1665117795-123","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Champignon-roomsaus","https://www.ah.nl/producten/product/wi441973/ah-champignon-roomsaus","1.99","432 kJ (104 kcal)","Vet8.8 g","Koolhydraten4.1 g","Prijs per LT € 10,47","Eiwitten2 g"
"1665117797-124","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Iglo Vissticks omega 3","https://www.ah.nl/producten/product/wi434490/iglo-vissticks-omega-3","5.99","898 kJ (214 kcal)","Vet9.4 g","Koolhydraten20 g","Prijs per KG € 10,70","Eiwitten12 g"
"1665117800-125","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Excellent Varkenshaasspies indonesian","https://www.ah.nl/producten/product/wi426434/ah-excellent-varkenshaasspies-indonesian","5.97","670 kJ (160 kcal)","Vet8.6 g","Koolhydraten0.4 g","Prijs per KG € 19,90","Eiwitten20 g"
"1665117802-126","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH BBQ sparerib pittig","https://www.ah.nl/producten/product/wi412504/ah-bbq-sparerib-pittig","8.98","852 kJ (204 kcal)","Vet11 g","Koolhydraten12 g","Prijs per KG € 13,50","Eiwitten14 g"
