web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665142307-1","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Look-O-Look Dynamietstaafjes aardbei","https://www.ah.nl/producten/product/wi451863/look-o-look-dynamietstaafjes-aardbei","1.99","1522 kJ (359 kcal)","Vet1.3 g","Koolhydraten85 g","null","Eiwitten1.7 g"
"1665142310-2","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Look-O-Look Zure regenboog streken","https://www.ah.nl/producten/product/wi451860/look-o-look-zure-regenboog-streken","1.99","1577 kJ (372 kcal)","Vet2 g","Koolhydraten83 g","Prijs per KG € 15,92","Eiwitten2.2 g"
"1665142312-3","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Jos Poell Roomboter gebaksbodem","https://www.ah.nl/producten/product/wi446940/jos-poell-roomboter-gebaksbodem","1.99","2015 kJ (480 kcal)","Vet20 g","Koolhydraten69 g","Prijs per KG € 13,27","Eiwitten5.1 g"
"1665142314-4","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Look-O-Look Zure aardbei streken","https://www.ah.nl/producten/product/wi451858/look-o-look-zure-aardbei-streken","1.99","1563 kJ (368 kcal)","Vet2.1 g","Koolhydraten82 g","Prijs per KG € 15,92","Eiwitten2.4 g"
"1665142316-5","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Look-O-Look Salmiakknotsen","https://www.ah.nl/producten/product/wi451885/look-o-look-salmiakknotsen","1.99","1494 kJ (352 kcal)","Vet0 g","Koolhydraten88 g","null","Eiwitten0 g"
"1665142319-6","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Look-O-Look App lollies","https://www.ah.nl/producten/product/wi451883/look-o-look-app-lollies","1.99","1548 kJ (365 kcal)","Vet1.4 g","Koolhydraten88 g","null","Eiwitten0 g"
"1665142321-7","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Look-O-Look Snoep kettingen & horloges","https://www.ah.nl/producten/product/wi451877/look-o-look-snoep-kettingen-en-horloges","1.99","1552 kJ (366 kcal)","Vet1.5 g","Koolhydraten88 g","null","Eiwitten0 g"
"1665142323-8","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Look-O-Look Lipsticks","https://www.ah.nl/producten/product/wi451876/look-o-look-lipsticks","1.99","1552 kJ (366 kcal)","Vet1.5 g","Koolhydraten88 g","null","Eiwitten0 g"
"1665142326-9","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Look-O-Look Veters aardbei","https://www.ah.nl/producten/product/wi451871/look-o-look-veters-aardbei","1.99","1429 kJ (337 kcal)","Vet2.4 g","Koolhydraten74 g","Prijs per KG € 15,92","Eiwitten3.1 g"
"1665142328-10","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Look-O-Look Gevulde zure staafjes aardbei vanille","https://www.ah.nl/producten/product/wi451868/look-o-look-gevulde-zure-staafjes-aardbei-vanille","1.99","1550 kJ (365 kcal)","Vet1.3 g","Koolhydraten84 g","Prijs per KG € 15,92","Eiwitten1.7 g"
"1665142331-11","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Chio Heartbreakers Paprika Partypack","https://www.ah.nl/producten/product/wi451528/chio-heartbreakers-paprika-partypack","1.99","2121 kJ (508 kcal)","Vet28.7 g","Koolhydraten56.2 g","Prijs per KG € 11,71","Eiwitten4.7 g"
"1665142333-12","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Peijnenburg Volkoren gesneden","https://www.ah.nl/producten/product/wi450468/peijnenburg-volkoren-gesneden","1.99","1295 kJ (306 kcal)","Vet1.6 g","Koolhydraten67.3 g","Prijs per KG € 4,10","Eiwitten3 g"
"1665142336-13","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Peijnenburg Zero gesneden","https://www.ah.nl/producten/product/wi450444/peijnenburg-zero-gesneden","1.99","983 kJ (235 kcal)","Vet1.5 g","Koolhydraten54.3 g","Prijs per KG € 7,11","Eiwitten2.7 g"
"1665142338-14","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Panetteria di Sergio Crespini met rozemarijn","https://www.ah.nl/producten/product/wi451110/panetteria-di-sergio-crespini-met-rozemarijn","1.99","1728 kJ (426 kcal)","Vet11 g","Koolhydraten69 g","Prijs per KG € 15,92","Eiwitten11 g"
"1665142341-15","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","AH Roomboter ronde spritsen","https://www.ah.nl/producten/product/wi417133/ah-roomboter-ronde-spritsen","1.99","2241 kJ (537 kcal)","Vet31 g","Koolhydraten58 g","Prijs per KG € 4,98","Eiwitten5.5 g"
"1665142343-16","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Knoppers Mini's","https://www.ah.nl/producten/product/wi420743/knoppers-mini-s","1.99","2301 kJ (551 kcal)","Vet33.2 g","Koolhydraten52.4 g","Prijs per KG € 9,95","Eiwitten8.9 g"
"1665142345-17","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","Jules Destrooper Speculoos in Belgische chocolade","https://www.ah.nl/producten/product/wi420736/jules-destrooper-speculoos-in-belgische-chocolade","1.99","2141 kJ (511 kcal)","Vet25 g","Koolhydraten65 g","Prijs per KG € 19,90","Eiwitten6.3 g"
"1665142349-18","https://www.ah.nl/producten/snoep-koek-chips-en-chocolade?minPrice=1.8&sortBy=-price&page=40","AH Mexicaantjes","https://www.ah.nl/producten/product/wi472376/ah-mexicaantjes","1.99","1795 kJ (425 kcal)","Vet8.5 g","Koolhydraten79 g","Prijs per KG € 18,09","Eiwitten7 g"
