web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665082128-1","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Primeur aardappelen","https://www.ah.nl/producten/product/wi96048/ah-primeur-aardappelen","2.99","371 kJ (88 kcal)","Vet0 g","Koolhydraten19 g","Prijs per KG € 1,99","Eiwitten2 g"
"1665082131-2","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Couscous pompoen, spinazie, feta pakket","https://www.ah.nl/producten/product/wi541733/ah-couscous-pompoen-spinazie-feta-pakket","10.12","null","null","null","null","null"
"1665082133-3","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Vegan zeewiersalade wakame","https://www.ah.nl/producten/product/wi523411/ah-vegan-zeewiersalade-wakame","2.39","439 kJ (105 kcal)","Vet5.2 g","Koolhydraten11 g","Prijs per KG € 23,90","Eiwitten1.5 g"
"1665082136-4","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","Appelsientje Proef! sinaasappel mango kurkuma","https://www.ah.nl/producten/product/wi520760/appelsientje-proef-sinaasappel-mango-kurkuma","1.89","173 kJ (41 kcal)","Vet0 g","Koolhydraten9.6 g","Normale prijs per LT € 1,89","Eiwitten0.2 g"
"1665082139-5","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Paddenstoelengehakt","https://www.ah.nl/producten/product/wi515448/ah-paddenstoelengehakt","2.49","124 kJ (29 kcal)","Vet0.1 g","Koolhydraten4.3 g","Prijs per KG € 8,30","Eiwitten2.5 g"
"1665082142-6","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Lunchsalade couscous falafel","https://www.ah.nl/producten/product/wi475648/ah-lunchsalade-couscous-falafel","3.79","610 kJ (147 kcal)","Vet9.6 g","Koolhydraten10 g","Prijs per KG € 12,43","Eiwitten3.7 g"
"1665082144-7","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Biologisch Popcorn mais","https://www.ah.nl/producten/product/wi469877/ah-biologisch-popcorn-mais","1.99","1582 kJ (374 kcal)","Vet4 g","Koolhydraten71 g","Prijs per KG € 3,98","Eiwitten11 g"
"1665082146-8","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","Aarts Ananas bio","https://www.ah.nl/producten/product/wi381922/aarts-ananas-bio","1.99","303 kJ (72 kcal)","Vet0.15 g","Koolhydraten16 g","Prijs per KG € 10,47","Eiwitten0.8 g"
"1665082149-9","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Biologisch Fruit & pitten mix","https://www.ah.nl/producten/product/wi470035/ah-biologisch-fruit-en-pitten-mix","3.29","1840 kJ (440 kcal)","Vet20 g","Koolhydraten53 g","Prijs per KG € 10,97","Eiwitten8.9 g"
"1665082151-10","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","Hak Sperziebonen fijn gebroken","https://www.ah.nl/producten/product/wi203282/hak-sperziebonen-fijn-gebroken","1.19","106 kJ (25 kcal)","Vet0.4 g","Koolhydraten2.2 g","Prijs per KG € 11,33","Eiwitten1.8 g"
"1665082153-11","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Rouges","https://www.ah.nl/producten/product/wi129869/ah-rouges","2.99","371 kJ (88 kcal)","Vet0 g","Koolhydraten19 g","Prijs per KG € 1,99","Eiwitten2 g"
"1665082156-12","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Kleine spruitjes","https://www.ah.nl/producten/product/wi117192/ah-kleine-spruitjes","1.39","185 kJ (44 kcal)","Vet0.7 g","Koolhydraten5 g","Prijs per KG € 2,78","Eiwitten2.5 g"
"1665082158-13","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Mexicaanse kidneybonendip","https://www.ah.nl/producten/product/wi497915/ah-mexicaanse-kidneybonendip","2.75","603 kJ (145 kcal)","Vet8.5 g","Koolhydraten10 g","Prijs per KG € 18,33","Eiwitten5.2 g"
