,product name,base price,Kcal/100g,fat/100g,carb/100g,protein/100g,€/100g or ml,protein/Kcal
0,AH Primeur aardappelen,2.99,88.0,,19.0,,0.19,
2,AH Vegan zeewiersalade wakame,2.39,105.0,5.2,11.0,1.5,2.3899999999999997,0.014285714285714285
3,Appelsientje Proef! sinaasappel mango kurkuma,1.89,41.0,,9.6,0.2,0.18,0.004878048780487805
4,AH Paddenstoelengehakt,2.49,29.0,0.1,4.3,2.5,0.8300000000000001,0.08620689655172414
5,AH Lunchsalade couscous falafel,3.79,147.0,9.6,10.0,3.7,1.24,0.025170068027210887
6,AH Biologisch Popcorn mais,1.99,374.0,,71.0,11.0,0.39,0.029411764705882353
7,Aarts Ananas bio,1.99,72.0,0.15,16.0,0.8,1.04,0.011111111111111112
8,AH Biologisch Fruit & pitten mix,3.29,440.0,20.0,53.0,8.9,1.09,0.02022727272727273
9,Hak Sperziebonen fijn gebroken,1.19,25.0,0.4,2.2,1.8,1.1300000000000001,0.07200000000000001
10,AH Rouges,2.99,88.0,,19.0,,0.19,
11,AH Kleine spruitjes,1.39,44.0,0.7,,2.5,0.27,0.056818181818181816
12,AH Mexicaanse kidneybonendip,2.75,145.0,8.5,10.0,5.2,1.83,0.03586206896551724
13,AH Verse smoothie aardbei blauwe bes appel,1.89,53.0,,11.0,2.1,0.75,0.03962264150943397
14,AH Gemarineerde artisjok,2.85,36.0,1.1,3.6,1.2,1.01,0.03333333333333333
17,Capri-Sun Squash multivitamin orange,3.49,1.4,,0.2,,0.33999999999999997,
18,AH Bonen spread met uienchutney,2.75,224.0,16.0,11.0,6.2,1.83,0.02767857142857143
19,AH Biologisch Gojibessen,5.19,295.0,3.5,43.0,13.0,2.96,0.04406779661016949
20,"AH Ananas, cantaloupe, watermeloen",4.0,43.0,0.09,9.4,0.6,0.72,0.013953488372093023
21,Verstegen Knoflookpoeder,1.69,,,,,3.75,
22,Hak Boerenkool,2.49,34.0,1.3,,2.7,0.53,0.07941176470588236
23,Souq Gekonfijte citroenen,2.19,19.0,0.3,,0.4,1.04,0.021052631578947368
24,AH Biologisch Rodekool met appeltjes,0.99,60.0,0.2,12.0,,0.19,
28,AH Wijnzuurkool gekookt,0.69,48.0,2.5,2.5,,0.27,
29,Hak Gesneden bonen met witte bonen,2.69,66.0,0.7,7.3,4.5,0.58,0.06818181818181818
30,AH Chia smoothie mango ananas spinazie,1.89,46.0,0.4,10.0,0.4,0.75,0.008695652173913044
32,AH Gegrilde paprikamix,2.79,38.0,0.2,7.1,0.9,1.1099999999999999,0.02368421052631579
34,"AH Verse ananas, mango, appel en druif",3.25,59.0,0.2,13.0,0.5,0.9,0.00847457627118644
35,Holyshot Ginger lemon,1.49,45.0,,11.0,0.6,2.48,0.013333333333333332
36,AH Gegrilde groentemix,2.79,37.0,0.3,5.4,1.5,1.1099999999999999,0.04054054054054054
37,AH Biologisch Oranje linzen kiemen,1.99,172.0,0.6,28.0,12.0,1.3199999999999998,0.06976744186046512
38,Moonpop Veggiez sea salt,1.99,396.0,9.6,63.3,9.3,2.34,0.023484848484848487
39,AH Biologisch Doperwten,1.99,68.0,,6.2,5.2,0.86,0.07647058823529412
40,Holyshot Ginger turmeric,1.49,50.0,,13.0,,2.48,
42,AH Zongerijpt watermeloen,2.5,35.0,0.2,7.6,0.6,1.1099999999999999,0.017142857142857144
43,Hak Rode Kool,2.09,38.0,,7.8,0.7,0.29,0.018421052631578946
44,Hak Witte bonen in tomatensaus,1.59,87.0,0.6,12.1,,0.8800000000000001,
45,AH Stamppotaardappelen,2.99,88.0,,19.0,,0.19,
46,Hak Haricots verts extra fijn,4.55,19.0,0.3,1.4,1.4,1.3,0.07368421052631578
47,AH Biologisch Cranberry's,4.49,330.0,,74.0,0.5,2.2399999999999998,0.0015151515151515152
48,AH Gegrilde artisjok in olie,2.75,107.0,5.7,11.0,1.2,1.52,0.011214953271028037
49,AH Gedroogde pruimen,2.99,250.0,0.3,56.0,2.4,1.3,0.0096
50,AH Krenten,1.85,329.0,0.3,74.0,,0.74,
54,AH Ovengroente koolraap zoete aardappel ui,3.39,47.0,0.2,9.2,0.9,0.5599999999999999,0.019148936170212766
55,AH Abrikoos gedroogd,2.29,236.0,0.1,56.0,0.6,1.2,0.002542372881355932
56,AH Gedroogde mango,2.99,318.0,,73.0,,1.9899999999999998,
57,Bieze 4 Seizoenen rauwkost,1.89,169.0,15.0,6.5,,0.75,
58,Del Monte Ananasschijven op siroop,1.35,71.0,,17.0,0.3,0.96,0.004225352112676056
60,AH Doosje met cranberries,1.99,60.0,0.1,12.0,0.4,0.79,0.006666666666666667
61,CêlaVíta Krokant kruidenkorstje knoflook kruiden,1.99,126.0,3.6,20.3,2.1,0.44000000000000006,0.016666666666666666
62,Hak Worteltjes extra fijn,2.09,32.0,0.3,5.2,0.7,0.49000000000000005,0.021875
63,AH Biologisch Vijgen,6.99,290.0,,57.0,3.5,1.3900000000000001,0.01206896551724138
64,Aarts Asperges,3.25,14.0,,1.4,1.4,1.08,0.09999999999999999
